externalid,segid,year,AADT
3626,0089_296.0,1989,1470.0
3626,0089_296.0,1988,1500.0
3626,0089_296.0,1987,1455.0
3626,0089_296.0,1986,1410.0
3626,0089_296.0,1985,1300.0
3626,0089_296.0,1984,960.0
3626,0089_296.0,1983,420.0
3626,0089_296.0,1982,1685.0
3626,0089_296.0,1981,1785.0
3628,0015_233.2,2023,45056.0
3628,0015_233.2,2022,43829.0
3628,0015_233.2,2021,34214.0
3628,0015_233.2,2020,27953.0
3628,0015_233.2,2019,29362.0
3628,0015_233.2,2018,28590.0
3628,0015_233.2,2017,27048.0
3628,0015_233.2,2016,26008.0
3628,0015_233.2,2015,23685.0
3628,0015_233.2,2014,19920.0
3628,0015_233.2,2013,22665.0
3628,0015_233.2,2012,22005.0
3628,0015_233.2,2011,21280.0
3628,0015_233.2,2010,21525.0
3628,0015_233.2,2009,21080.0
3628,0015_233.2,2008,24605.0
3628,0015_233.2,2007,26445.0
3628,0015_233.2,2006,25825.0
3628,0015_233.2,2005,24950.0
3628,0015_233.2,2004,24055.0
3628,0015_233.2,2003,23915.0
3628,0015_233.2,2002,23680.0
3628,0015_233.2,2001,21970.0
3628,0015_233.2,2000,19170.0
3628,0015_233.2,1999,17466.0
3628,0015_233.2,1998,16860.0
3628,0015_233.2,1997,15985.0
3628,0015_233.2,1996,15085.0
3628,0015_233.2,1995,14510.0
3628,0015_233.2,1994,13830.0
3628,0015_233.2,1993,12420.0
3628,0015_233.2,1992,11920.0
3628,0015_233.2,1991,11645.0
3628,0015_233.2,1990,10835.0
3628,0015_233.2,1989,10235.0
3628,0015_233.2,1988,10220.0
3628,0015_233.2,1987,8200.0
3628,0015_233.2,1986,7815.0
3628,0015_233.2,1985,8050.0
3628,0015_233.2,1984,8580.0
3629,1826_004.9,2023,3489.0
3629,1826_004.9,2022,3345.0
3629,1826_004.9,2021,3382.0
3629,1826_004.9,2020,3155.0
3629,1826_004.9,2019,3158.0
3629,1826_004.9,2018,3121.0
3629,1826_004.9,2017,3001.0
3629,1826_004.9,2016,2925.0
3629,1826_004.9,2015,2790.0
3629,1826_004.9,2014,2635.0
3629,1826_004.9,2013,2590.0
3629,1826_004.9,2012,2505.0
3629,1826_004.9,2011,2555.0
3629,1826_004.9,2010,205.0
3629,1826_004.9,2009,200.0
3629,1826_004.9,2008,195.0
3629,1826_004.9,2007,200.0
