externalid,year,AADT
3623,2001,6600
3623,2002,6855
3623,2003,6669
3623,2004,6395
3623,2005,6810
3623,2006,6675
3623,2007,6885
3623,2008,6610
3623,2009,6835
3623,2010,7145
3623,2011,7010
3623,2012,7025
3623,2013,7220
3623,2014,7510
3623,2015,8130
3623,2016,8677
3623,2017,9024
3623,2018,9024
3623,2019,9214
3623,2020,9205
3623,2021,9923
3623,2022,10469
3623,2023,10741
3624,1981,500
3624,1982,515
3624,1983,375
3624,1984,550
3624,1985,550
3624,1986,550
3624,1987,550
3624,1989,450
3624,1990,470
3624,1991,475
3624,1992,515
3624,1993,525
3624,1994,575
3624,1995,610
3624,1996,635
3624,1997,659
3624,1998,690
3624,1999,740
3624,2000,740
3624,2001,755
3624,2002,1095
3624,2003,1078
3624,2004,605
3624,2005,610
3624,2006,285
3624,2007,300
3624,2008,280
3624,2009,295
3624,2010,290
3624,2011,280
3624,2012,280
3624,2013,280
3624,2014,300
3624,2015,320
3624,2016,341
3624,2017,1738
3624,2018,1750
3624,2019,1764
3624,2020,1826
3624,2021,2013
3624,2022,1872
3624,2023,1939
3626,1981,1785
3626,1982,1685
3626,1983,420
3626,1984,960
3626,1985,1300
3626,1986,1410
3626,1987,1455
3626,1988,1500
3626,1989,1470
3626,1990,1480
3626,1991,1500
3626,1992,1515
3626,1993,1595
3626,1994,1800
3626,1995,1980
3626,1996,2060
3626,1997,2155
3626,1998,2430
3626,1999,2675
3626,2000,2525
3626,2001,2470
3626,2002,2410
3626,2003,2425
3626,2004,2535
3626,2005,2615
3626,2006,2835
3626,2007,2060
3626,2008,2305
3626,2009,2435
3626,2010,2360
3626,2011,2345
3626,2012,2340
3626,2013,2420
3626,2014,2425
3626,2015,2625
3626,2016,2806
3626,2017,2897
3626,2018,2971
3626,2019,3000
3626,2020,3210
3626,2021,3366
3626,2022,3457
3626,2023,3547
3628,1984,8580
3628,1985,8050
3628,1986,7815
3628,1987,8200
3628,1988,10220
3628,1989,10235
3628,1990,10835
3628,1991,11645
3628,1992,11920
3628,1993,12420
3628,1994,13830
3628,1995,14510
3628,1996,15085
3628,1997,15985
3628,1998,16860
3628,1999,17466
3628,2000,19170
3628,2001,21970
3628,2002,23680
3628,2003,23915
3628,2004,24055
3628,2005,24950
3628,2006,25825
3628,2007,26445
3628,2008,24605
3628,2009,21080
3628,2010,21525
3628,2011,21280
3628,2012,22005
3628,2013,22665
3628,2014,19920
3628,2015,23685
3628,2016,26008
3628,2017,27048
3628,2018,28590
3628,2019,29362
3628,2020,27953
3628,2021,34214
3628,2022,43829
3628,2023,45056
3629,2007,200
3629,2008,195
3629,2009,200
3629,2010,205
3629,2011,2555
3629,2012,2505
3629,2013,2590
3629,2014,2635
3629,2015,2790
3629,2016,2925
3629,2017,3001
3629,2018,3121
3629,2019,3158
3629,2020,3155
3629,2021,3382
3629,2022,3345
3629,2023,3489
