;IPZONE	OPZONE
2605	3174
2606	3198
2607	3155
2608	3154
2609	3163
2610	3164
2611	3167
2612	3161
2613	3162
2614	3165
2615	3166
2616	3203
2617	3211
2618	3205
2619	3204
2620	3209
2621	3210
2622	3206
2623	3207
2624	3208
2625	3212
2626	3055
2627	3049
2628	3053
2629	3225
2630	3045
2631	3046
2632	3047
2633	3051
2634	3130
2635	3075
2636	3076
2637	3134
2638	3132
2639	3132
2640	3135
2641	3136
2642	3139
2643	3140
2644	3141
2645	3226
2646	3227
2647	3128
2648	3129
2649	3228
2650	3229
2651	3131
2652	3230
2653	3231
2654	3232
2655	3236
2656	3233
2657	3237
2658	3235
2659	3138
2660	3238
2661	3158
2662	3156
2663	3160
2664	3247
2665	3251
2666	3255
2667	3240
2668	3248
2669	3262
2670	3265
2671	3249
2672	3291
2673	3279
2674	3281
2675	3290
2676	3289
2677	3288
2678	3285
2679	3271
2680	3268
2681	3269
2682	3202
2683	3274
2684	3199
2685	3201
2686	3200
2687	3308
2688	3332
2689	3331
2690	3333
2691	3336
2692	3292
2693	3296
2694	3305
2695	3307
2696	3311
2697	3310
2698	3294
2699	3301
2700	3314
2701	3335
2702	3318
2703	3319
2704	3316
2705	3315
2706	3337
2707	3320
2708	3338
2709	3323
2710	3322
2711	3321
2712	3340
2713	3339
2714	3341
2715	3324
2716	3342
2717	3325
2718	3343
2719	3432
2720	3430
2721	3431
2722	3433
2723	3382
2724	3383
2725	3384
2726	3385
2727	3380
2728	3390
2729	3386
2730	3387
2731	3389
2732	3388
2733	3327
2734	3393
2735	3394
2736	3396
2737	3395
2738	3408
2739	3407
2740	3409
2741	3410
2742	3411
2743	3406
2744	3402
2745	3413
2746	3412
2747	3414
2748	3419
2749	3403
2750	3405
2751	3404
2752	3401
2753	3398
2754	3418
2755	3417
2756	3400
2757	3415
2758	3422
2759	3421
2760	3420
2761	3416
2762	3369
2763	3423
2764	3424
2765	3425
2766	3368
2767	3426
2768	3427
2769	3428
2770	3429
2771	3329
2772	3344
2773	3328
2774	3345
2775	3347
2776	3348
2777	3348
2778	3351
2779	3350
2780	3365
2781	3366
2782	3372
2783	3371
2784	3371
2785	3399
2786	3370
2787	3367
2788	3364
2789	3362
2790	3363
2791	3374
2792	3373
2793	3379
2794	3346
2795	3352
2796	3355
2797	3354
2798	3353
2799	3356
2800	3357
2801	3359
2802	3358
2803	3361
2804	3360
2805	3376
2806	3375
2807	3378
2808	3377
2809	3440
2810	3442
2811	3441
2812	3443
2813	3436
2814	3437
2815	3438
2816	3439
2817	3450
2818	3451
2819	3452
2820	3453
2821	3454
2822	3455
2823	3457
2824	3458
2825	3459
2826	3461
2827	3463
2828	3464
2829	3462
2830	3465
2831	3466
2832	3460
2833	3467
2834	3468
2835	3469
2836	3471
2837	3472
2838	3473
2839	3477
2840	3474
2841	3478
2842	3476
2843	3475
2844	3434
2845	3435
2846	3444
2847	3445
2848	3447
2849	3446
2850	3448
2851	3449
2852	3485
2853	3484
2854	3483
2855	3482
2856	3481
2857	3479
2858	3480
2859	3496
2860	3495
2861	3494
2862	3492
2863	3493
2864	3486
2865	3491
2866	3490
2867	3487
2868	3488
2869	3489
2870	3523
2871	3524
2872	3525
2873	3531
